Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",1106407,1106407
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",1103565,1103563
