sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,307,"Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed",1208,"number of output rows",19980,19994,20012,500000,"sum","4"
1,307,"Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed",1209,"scan time",5482,10426,27181,260822,"timing","4"
1,307,"Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed",1210,"number of files read",800,800,800,800,"sum","4"
1,307,"Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed",1211,"metadata time",15,15,15,15,"timing","4"
1,307,"Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed",1212,"size of files read",13585953,13585953,13585953,13585953,"size","4"
1,308,"BroadcastExchange",3319,"data size",8421376,8421376,8421376,8421376,"size",""
1,308,"BroadcastExchange",3320,"number of output rows",731,731,731,731,"sum",""
1,308,"BroadcastExchange",3321,"time to collect",275380,275380,275380,275380,"timing",""
1,308,"BroadcastExchange",3322,"time to build",3,3,3,3,"timing",""
1,308,"BroadcastExchange",3323,"time to broadcast",2,2,2,2,"timing",""
1,309,"WholeStageCodegen (28)",3324,"duration",206,206,206,206,"timing","12"
1,310,"Filter",3325,"number of output rows",731,731,731,731,"sum","12"
1,311,"ColumnarToRow",3326,"number of output rows",731,731,731,731,"sum","12"
1,311,"ColumnarToRow",3327,"number of input batches",1,1,1,1,"sum","12"
1,312,"Scan parquet spark_catalog.demo_pauldefusco.calendar",1230,"number of output rows",731,731,731,731,"sum","12"
1,312,"Scan parquet spark_catalog.demo_pauldefusco.calendar",1231,"scan time",205,205,205,205,"timing","12"
1,312,"Scan parquet spark_catalog.demo_pauldefusco.calendar",1232,"number of files read",1,1,1,1,"sum","12"
1,312,"Scan parquet spark_catalog.demo_pauldefusco.calendar",1233,"metadata time",14,14,14,14,"timing","12"
1,312,"Scan parquet spark_catalog.demo_pauldefusco.calendar",1234,"size of files read",10508,10508,10508,10508,"size","12"
1,313,"WholeStageCodegen (116)",28474,"duration",3634,7234,10180,22778571,"timing","244,279,144"
1,314,"Sort",28475,"sort time",0,0,2,2648,"timing","244,279,144"
1,314,"Sort",28476,"peak memory",67239936,67239936,67239936,203871485952,"size","244,279,144"
1,314,"Sort",28477,"spill size",0,0,0,0,"size","244,279,144"
1,315,"Exchange",24249,"data size",668864,706372,743792,2143949816,"size","244,279,144,219,90,254"
1,315,"Exchange",24250,"number of partitions",1000,1000,1000,1000,"sum","244,279,144,219,90,254"
1,315,"Exchange",24251,"remote blocks read",962,966,990,2964008,"sum","244,279,144,219,90,254"
1,315,"Exchange",24252,"local blocks read",1,1,8,11986,"sum","244,279,144,219,90,254"
1,315,"Exchange",24253,"remote bytes read",530922,554939,578571,1683315931,"size","244,279,144,219,90,254"
1,315,"Exchange",24255,"local bytes read",218,2195,6603,6774959,"size","244,279,144,219,90,254"
1,315,"Exchange",24256,"fetch wait time",0,0,0,0,"timing","244,279,144,219,90,254"
1,315,"Exchange",24257,"records read",3785,3887,4204,12128484,"sum","244,279,144,219,90,254"
1,315,"Exchange",24266,"remote reqs duration",6181,52250,139828,160269394,"timing","244,279,144,219,90,254"
1,315,"Exchange",24268,"shuffle bytes written",535832,557120,579826,1691096772,"size","244,279,144,219,90,254"
1,315,"Exchange",24269,"shuffle records written",3787,3889,4211,12135556,"sum","244,279,144,219,90,254"
1,315,"Exchange",24270,"shuffle write time",3431227,5831193,61418266,17756592905,"nsTiming","244,279,144,219,90,254"
1,316,"WholeStageCodegen (104)",24271,"duration",3320,8109,13357,25467936,"timing","254,219,90"
1,317,"HashAggregate",24272,"number of output rows",3787,3889,4211,12135556,"sum","254,219,90"
1,317,"HashAggregate",24273,"peak memory",67371008,67371008,67371008,204403638272,"size","254,219,90"
1,317,"HashAggregate",24275,"time in aggregation build",3313,8041,13209,25274056,"timing","254,219,90"
1,317,"HashAggregate",24276,"avg hash probes per key",11,11,11,33374,"average","254,219,90"
1,318,"HashAggregate",24278,"number of output rows",3787,3889,4211,12135556,"sum","254,219,90"
1,318,"HashAggregate",24279,"peak memory",262144,57577196,67371008,174741520384,"size","254,219,90"
1,318,"HashAggregate",24281,"time in aggregation build",3307,8013,13163,25201963,"timing","254,219,90"
1,318,"HashAggregate",24282,"avg hash probes per key",10,10,12,25926,"average","254,219,90"
1,319,"Sort",24284,"sort time",1061,1626,2848,5681506,"timing","254,219,90"
1,319,"Sort",24285,"peak memory",402653184,501574434,738197504,1521894817792,"size","254,219,90"
1,319,"Sort",24286,"spill size",0,0,0,0,"size","254,219,90"
1,320,"Exchange",15335,"data size",342066568,381635732,425647728,1544890478000,"size","57,253,89,219,218,90,254"
1,320,"Exchange",15336,"number of partitions",1000,1000,1000,1000,"sum","57,253,89,219,218,90,254"
1,320,"Exchange",15337,"remote blocks read",992,992,1000,3022721,"sum","57,253,89,219,218,90,254"
1,320,"Exchange",15338,"local blocks read",1,1,8,11279,"sum","57,253,89,219,218,90,254"
1,320,"Exchange",15339,"remote bytes read",101520664,138802316,187409608,421184965633,"size","57,253,89,219,218,90,254"
1,320,"Exchange",15341,"local bytes read",107605,656907,1439699,1573201667,"size","57,253,89,219,218,90,254"
1,320,"Exchange",15342,"fetch wait time",0,2055,7235,7048428,"timing","57,253,89,219,218,90,254"
1,320,"Exchange",15343,"records read",1714115,2499624,3452163,7585681061,"sum","57,253,89,219,218,90,254"
1,320,"Exchange",15352,"remote reqs duration",4930,24689,49748,76197544,"timing","57,253,89,219,218,90,254"
1,320,"Exchange",15354,"shuffle bytes written",124712156,139320081,155421390,563979291827,"size","57,253,89,219,218,90,254"
1,320,"Exchange",15355,"shuffle records written",2240709,2499585,2788052,10119515868,"sum","57,253,89,219,218,90,254"
1,320,"Exchange",15356,"shuffle write time",57118438,78518836,175032470,317111489478,"nsTiming","57,253,89,219,218,90,254"
1,321,"WholeStageCodegen (81)",15357,"duration",3233,28179,61234,116617147,"timing","218,89,253,57"
1,324,"BroadcastHashJoin",15358,"number of output rows",2240709,2499585,2788052,10119515868,"sum","218,89,253,57"
1,326,"BroadcastHashJoin",15359,"number of output rows",2240709,2499585,2788052,10119515868,"sum","218,89,253,57"
1,328,"BroadcastHashJoin",15360,"number of output rows",2240709,2499585,2788052,10119515868,"sum","218,89,253,57"
1,330,"SortMergeJoin",15361,"number of output rows",2240709,2499585,2788052,10119515868,"sum","218,89,253,57"
1,330,"SortMergeJoin",15362,"spill size",0,0,0,0,"size","218,89,253,57"
1,331,"WholeStageCodegen (79)",15364,"duration",3262,28263,61296,116971481,"timing","218,89,253,57"
1,332,"Sort",15365,"sort time",72,77,359,389949,"timing","218,89,253,57"
1,332,"Sort",15366,"peak memory",335544320,402457095,402653184,1629269000192,"size","218,89,253,57"
1,332,"Sort",15367,"spill size",0,0,0,0,"size","218,89,253,57"
1,333,"Exchange",5964,"data size",204031384,204268550,336823240,1848368857520,"size","88,56,57,216,253,89,252,34,218"
1,333,"Exchange",5965,"number of partitions",1000,1000,1000,1000,"sum","88,56,57,216,253,89,252,34,218"
1,333,"Exchange",5966,"remote blocks read",977,988,1036,4176838,"sum","88,56,57,216,253,89,252,34,218"
1,333,"Exchange",5967,"local blocks read",1,1,59,16890,"sum","88,56,57,216,253,89,252,34,218"
1,333,"Exchange",5968,"remote bytes read",84762019,98900808,110430936,400352518199,"size","88,56,57,216,253,89,252,34,218"
