Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",262473,262473
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",210575,210567
"2",2,"count at NativeMethodAccessorImpl.java:0",185259,185202
