Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",1096640,1096640
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",1094158,1094131
