Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",2301603,2301603
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",2293336,2293319
