Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",650493,650493
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",649005,649004
"2",2,"count at NativeMethodAccessorImpl.java:0",64481,64480
