Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",602094,602094
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",600065,600063
"2",2,"count at NativeMethodAccessorImpl.java:0",139863,139862
