SQL ID,Exec Name,Expression Name,Exec Duration,SQL Node Id,Exec Is Supported,Exec Stages,Exec Children,Exec Children Node Ids,Exec Should Remove,Exec Should Ignore,Action
1,"Project","",0,77,true,"67","","",false,false,"NONE"
1,"SortMergeJoin","",0,78,true,"67","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (193)",349708,79,true,"67","Sort","80",false,false,"NONE"
1,"Sort","",0,80,true,"67","","",false,false,"NONE"
1,"AQEShuffleRead","",0,81,true,"67","","",false,false,"NONE"
1,"Exchange","",9290,82,true,"41","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (147)",887294,83,true,"41","Project:SortMergeJoin","84:85",false,false,"NONE"
1,"Project","",0,84,true,"41","","",false,false,"NONE"
1,"SortMergeJoin","",0,85,true,"41","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (145)",894983,86,true,"41","Sort","87",false,false,"NONE"
1,"Sort","",0,87,true,"41","","",false,false,"NONE"
1,"Exchange","",30125,88,true,"22","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (99)",14537264,89,true,"22:39","Project:SortMergeJoin","90:91",false,false,"NONE"
1,"Project","",0,90,true,"22:39","","",false,false,"NONE"
1,"SortMergeJoin","",0,91,true,"22:39","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (97)",0,92,true,"22:39","Sort","93",false,false,"NONE"
1,"Sort","",0,93,true,"22:39","","",false,false,"NONE"
1,"Exchange","",128494975,94,true,"0","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (1)",4337077,95,true,"21:0","Filter:ColumnarToRow","96:97",false,false,"NONE"
1,"Filter","",0,96,true,"21:0","","",false,false,"NONE"
1,"ColumnarToRow","",0,97,false,"21:0","","",true,false,"IgnoreNoPerf"
1,"Scan parquet","Format: parquet",3539555,98,true,"21:0","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (98)",29105596,99,true,"22:39","Sort","100",false,false,"NONE"
1,"Sort","",0,100,true,"22:39","","",false,false,"NONE"
1,"Exchange","",13933,101,true,"1","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (2)",163684,102,true,"38:1","Filter:ColumnarToRow","103:104",false,false,"NONE"
1,"Filter","",0,103,true,"38:1","","",false,false,"NONE"
1,"ColumnarToRow","",0,104,false,"38:1","","",true,false,"IgnoreNoPerf"
1,"Scan parquet","Format: parquet",162267,105,true,"38:1","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (146)",0,106,true,"41","Sort","107",false,false,"NONE"
1,"Sort","",0,107,true,"41","","",false,false,"NONE"
1,"Exchange","",135,108,true,"2","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (3)",161086,109,true,"2:40","Filter:ColumnarToRow","110:111",false,false,"NONE"
1,"Filter","",0,110,true,"2:40","","",false,false,"NONE"
1,"ColumnarToRow","",0,111,false,"2:40","","",true,false,"IgnoreNoPerf"
1,"Scan parquet","Format: parquet",159695,112,true,"2:40","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (194)",345945,113,true,"67","Sort","114",false,false,"NONE"
1,"Sort","",0,114,true,"67","","",false,false,"NONE"
1,"AQEShuffleRead","",0,115,true,"67","","",false,false,"NONE"
1,"Exchange","",90241,116,true,"3","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (4)",191517,117,true,"65:3","Filter:ColumnarToRow","118:119",false,false,"NONE"
1,"Filter","",0,118,true,"65:3","","",false,false,"NONE"
1,"ColumnarToRow","",0,119,false,"65:3","","",true,false,"IgnoreNoPerf"
1,"Scan parquet","Format: parquet",190754,120,true,"65:3","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (251)",1074867,121,true,"114","Sort","122",false,false,"NONE"
1,"Sort","",0,122,true,"114","","",false,false,"NONE"
1,"AQEShuffleRead","",0,123,true,"114","","",false,false,"NONE"
1,"Exchange","",6,124,true,"4","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (5)",10406,125,true,"4","Filter:ColumnarToRow","126:127",false,false,"NONE"
1,"Filter","",0,126,true,"4","","",false,false,"NONE"
1,"ColumnarToRow","",0,127,false,"4","","",true,false,"IgnoreNoPerf"
1,"Scan parquet","Format: parquet",10364,128,true,"4","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (305)",523835,129,true,"174","Sort","130",false,false,"NONE"
1,"Sort","",0,130,true,"174","","",false,false,"NONE"
1,"AQEShuffleRead","",0,131,true,"174","","",false,false,"NONE"
1,"Exchange","",18749,132,true,"5","","",false,false,"NONE"
1,"WholeStageCodegen","WholeStageCodegen (6)",267,133,true,"5","Filter:ColumnarToRow","134:135",false,false,"NONE"
1,"Filter","",0,134,true,"5","","",false,false,"NONE"
1,"ColumnarToRow","",0,135,false,"5","","",true,false,"IgnoreNoPerf"
1,"Scan parquet","Format: parquet",243,136,false,"5","","",false,false,"Triage"
1,"WholeStageCodegen","WholeStageCodegen (338)",1505384,137,true,"221","Sort:HashAggregate","138:139",false,false,"NONE"
