Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",573997,573997
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",571676,571673
"2",2,"count at NativeMethodAccessorImpl.java:0",135658,135654
