sqlID,sqlPlanVersion,nodeId,fromFinalPlan,execName,format,location,tableName,dataBase,outputColumns,writeMode,partitionColumns,compressionOption,fullDescription
1,2,1,true,"InsertIntoHadoopFsRelationCommand","Parquet","s3a://goes-se-sandbox/data/warehouse/tablespace/external/hive/demo_pauldefusco.db/etl_v4_result","inapplicable","inapplicable","year;quarter;month;branch_state;branch_region;customer_segment;merchant_category;transaction_bucket;transactions;total_amount;avg_customer_value;avg_merchant_volume;fraud_events;avg_customer_cumulative_spend;distinct_customers",Overwrite,"unknown","uncompressed","Execute InsertIntoHadoopFsRelationCommand s3a://goes-se-sandbox/data/warehouse/tablespace/external/hive/demo_pauldefusco.db/etl_v4_result, false, Parquet, [path=s3a://goes-se-sandbox/data/warehouse/tablespace/external/hive/demo_pauldefusco.db/etl_v4_result], Overwrite, [year, quarter, month, branch_state, branch_region, customer_segment, merchant_category, transaction_bucket, transactions, total_amount, avg_customer_value, avg_merchant_volume, fraud_events, avg_customer_cumulative_spend, distinc..."
3,2,1,true,"InsertIntoHadoopFsRelationCommand","Parquet","s3a://goes-se-sandbox/data/warehouse/tablespace/external/hive/demo_pauldefusco.db/etl_v4_risk_tags","inapplicable","inapplicable","risk_tag;tag_transaction_count;tag_total_amount;tag_distinct_customers",Overwrite,"unknown","uncompressed","Execute InsertIntoHadoopFsRelationCommand s3a://goes-se-sandbox/data/warehouse/tablespace/external/hive/demo_pauldefusco.db/etl_v4_risk_tags, false, Parquet, [path=s3a://goes-se-sandbox/data/warehouse/tablespace/external/hive/demo_pauldefusco.db/etl_v4_risk_tags], Overwrite, [risk_tag, tag_transaction_count, tag_total_amount, tag_distinct_customers]"
