stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
118,0,41577,0,8.12,3.2,335.21,51.34,1536.53,true,"Success"
118,0,41581,0,10.00,3.2,254.84,51.34,1088.53,true,"Success"
118,0,41582,0,9.21,3.2,192.07,51.34,960.53,true,"Success"
118,0,41601,0,7.24,3.2,160.05,51.34,832.53,true,"Success"
118,0,41613,0,9.41,3.2,215.43,51.34,960.53,true,"Success"
118,0,41615,0,8.18,3.2,160.09,51.34,832.53,true,"Success"
118,0,41622,0,9.97,3.2,336.00,51.34,1536.53,true,"Success"
118,0,41640,0,11.71,3.2,324.66,51.34,1472.53,true,"Success"
118,0,41642,0,13.72,3.2,515.76,51.34,1984.53,true,"Success"
118,0,41655,0,12.15,3.2,406.27,51.34,1728.53,true,"Success"
118,0,41668,0,9.86,3.2,324.22,51.34,1472.53,true,"Success"
118,0,41670,0,7.47,3.2,160.88,51.34,768.53,true,"Success"
118,0,41674,0,37.19,3.2,835.20,51.34,2048.53,true,"Success"
118,0,41676,0,11.16,3.2,450.95,51.34,1856.53,true,"Success"
118,0,41697,0,8.11,3.2,198.84,51.34,960.53,true,"Success"
118,0,41705,0,10.91,3.2,217.69,51.34,1024.53,true,"Success"
118,0,41706,0,8.45,3.2,160.00,51.34,832.53,true,"Success"
118,0,41718,0,8.82,3.2,198.85,51.34,960.53,true,"Success"
118,0,41730,0,8.77,3.2,192.12,51.34,960.53,true,"Success"
118,0,41733,0,9.78,3.2,179.30,51.34,896.53,true,"Success"
118,0,41734,0,10.52,3.2,217.59,51.34,960.53,true,"Success"
118,0,41760,0,7.71,3.2,248.17,51.34,1024.53,true,"Success"
118,0,41777,0,28.66,3.2,580.19,51.34,1984.53,true,"Success"
118,0,41797,0,10.98,3.2,449.76,51.34,1856.53,true,"Success"
118,0,41822,0,8.59,3.2,233.42,51.34,1024.53,true,"Success"
118,0,41834,0,8.39,3.2,160.24,51.34,832.53,true,"Success"
118,0,41848,0,12.01,3.2,450.77,51.34,1856.53,true,"Success"
118,0,41849,0,7.81,3.2,165.46,51.34,896.53,true,"Success"
118,0,41854,0,8.73,3.2,215.06,51.34,1024.53,true,"Success"
118,0,41872,0,9.95,3.2,335.93,51.34,1536.53,true,"Success"
118,0,41880,0,12.78,3.2,433.17,51.34,1728.53,true,"Success"
118,0,41887,0,8.44,3.2,199.17,51.34,960.53,true,"Success"
118,0,41888,0,16.42,3.2,450.46,51.34,1792.53,true,"Success"
118,0,41894,0,8.02,3.2,166.78,51.34,832.53,true,"Success"
118,0,41895,0,5.60,3.2,165.50,51.34,896.53,true,"Success"
118,0,41908,0,5.52,3.2,165.73,51.34,896.53,true,"Success"
195,1,46927,0,4.19,0.9,152.01,30.40,832.53,true,"Success"
282,0,50944,0,39.88,30.5,1126.74,369.80,7616.56,true,"Success"
282,0,50945,0,71.50,30.5,1536.16,369.80,7936.56,true,"Success"
282,0,50953,0,51.73,30.5,1124.01,369.80,7232.56,true,"Success"
282,0,50976,0,70.33,30.5,1123.82,369.80,5696.56,true,"Success"
282,0,50989,0,51.16,30.5,1125.66,369.80,7168.56,true,"Success"
282,0,50994,0,60.76,30.5,1551.75,369.80,10304.56,true,"Success"
282,0,50995,0,68.73,30.5,1593.00,369.80,8064.56,true,"Success"
282,0,50996,0,58.41,30.5,1123.91,369.80,6464.56,true,"Success"
282,0,51001,0,93.63,30.5,2011.77,369.80,11072.56,true,"Success"
282,0,51008,0,44.02,30.5,1126.33,369.80,7616.56,true,"Success"
282,0,51013,0,48.65,30.5,1125.87,369.80,7168.56,true,"Success"
282,0,51016,0,56.28,30.5,1527.21,369.80,9920.56,true,"Success"
282,0,51018,0,52.51,30.5,1124.96,369.80,7616.56,true,"Success"
282,0,51039,0,85.98,30.5,1569.71,369.80,6720.56,true,"Success"
282,0,51046,0,42.38,30.5,1124.61,369.80,7616.56,true,"Success"
282,0,51050,0,53.89,30.5,1126.36,369.80,7232.56,true,"Success"
282,0,51065,0,37.89,30.5,1125.28,369.80,7552.56,true,"Success"
282,0,51074,0,50.73,30.5,1124.99,369.80,7296.56,true,"Success"
282,0,51075,0,75.77,30.5,1534.93,369.80,8320.56,true,"Success"
282,0,51078,0,41.93,30.5,1124.11,369.80,7616.56,true,"Success"
282,0,51082,0,53.82,30.5,1126.99,369.80,6528.56,true,"Success"
282,0,51087,0,39.77,30.5,1124.79,369.80,7616.56,true,"Success"
282,0,51119,0,65.07,30.5,1123.92,369.80,4992.56,true,"Success"
282,0,51135,0,63.23,30.5,1172.99,369.80,7360.56,true,"Success"
282,0,51143,0,68.68,30.5,1124.32,369.80,6528.56,true,"Success"
282,0,51151,0,51.70,30.5,1125.79,369.80,7232.56,true,"Success"
282,0,51157,0,41.01,30.5,1125.58,369.80,7552.56,true,"Success"
282,0,51159,0,56.93,30.5,1205.74,369.80,7104.56,true,"Success"
282,0,51161,0,66.89,30.5,1208.40,369.80,6080.56,true,"Success"
282,0,51163,0,52.50,30.5,1125.44,369.80,7616.56,true,"Success"
282,0,51174,0,59.25,30.5,1176.09,369.80,7104.56,true,"Success"
282,0,51195,0,54.68,30.5,1124.55,369.80,7232.56,true,"Success"
282,0,51198,0,54.84,30.5,1128.10,369.80,7616.56,true,"Success"
282,0,51207,0,58.93,30.5,1129.15,369.80,6848.56,true,"Success"
282,0,51208,0,59.12,30.5,1497.22,369.80,9920.56,true,"Success"
282,0,51226,0,38.53,30.5,1126.27,369.80,7552.56,true,"Success"
282,0,51228,0,39.25,30.5,1126.90,369.80,7616.56,true,"Success"
282,0,51230,0,83.56,30.5,1939.05,369.80,9856.56,true,"Success"
282,0,51232,0,40.58,30.5,1125.25,369.80,7616.56,true,"Success"
282,0,51244,0,57.77,30.5,1128.52,369.80,5696.56,true,"Success"
282,0,51254,0,38.85,30.5,1123.64,369.80,7552.56,true,"Success"
282,0,51255,0,52.08,30.5,1165.06,369.80,7424.56,true,"Success"
282,0,51268,0,66.59,30.5,1542.73,369.80,10112.56,true,"Success"
282,0,51272,0,65.83,30.5,1127.69,369.80,5888.56,true,"Success"
282,0,51298,0,50.16,30.5,1124.80,369.80,7296.56,true,"Success"
282,0,51304,0,50.97,30.5,1184.54,369.80,7104.56,true,"Success"
282,0,51330,0,49.30,30.5,1124.14,369.80,6528.56,true,"Success"
282,0,51337,0,38.37,30.5,1126.93,369.80,7616.56,true,"Success"
282,0,51339,0,111.90,30.5,2284.21,369.80,10048.56,true,"Success"
282,0,51343,0,59.91,30.5,1542.32,369.80,7872.56,true,"Success"
282,0,51345,0,65.70,30.5,1544.69,369.80,8576.56,true,"Success"
282,0,51362,0,68.71,30.5,1531.95,369.80,10112.56,true,"Success"
282,0,51368,0,64.43,30.5,1123.68,369.80,4992.56,true,"Success"
282,0,51369,0,39.22,30.5,1123.68,369.80,7552.56,true,"Success"
282,0,51373,0,54.20,30.5,1127.09,369.80,7552.56,true,"Success"
282,0,51375,0,76.28,30.5,1558.44,369.80,8256.56,true,"Success"
282,0,51387,0,58.01,30.5,1125.92,369.80,7232.56,true,"Success"
282,0,51398,0,88.84,30.5,1545.36,369.80,9600.56,true,"Success"
282,0,51399,0,52.51,30.5,1126.82,369.80,6528.56,true,"Success"
282,0,51403,0,69.70,30.5,1588.85,369.80,8640.56,true,"Success"
282,0,51427,0,51.75,30.5,1123.56,369.80,7296.56,true,"Success"
282,0,51433,0,67.13,30.5,1126.33,369.80,6336.56,true,"Success"
282,0,51440,0,64.90,30.5,1128.82,369.80,6464.56,true,"Success"
282,0,51448,0,67.69,30.5,1448.84,369.80,9728.56,true,"Success"
282,0,51459,0,56.84,30.5,1127.22,369.80,7232.56,true,"Success"
282,0,51479,0,53.18,30.5,1126.99,369.80,7232.56,true,"Success"
282,0,51484,0,72.79,30.5,1468.04,369.80,8064.56,true,"Success"
282,0,51486,0,76.48,30.5,1506.88,369.80,7552.56,true,"Success"
282,0,51495,0,46.82,30.5,1123.97,369.80,6528.56,true,"Success"
282,0,51502,0,42.21,30.5,1126.05,369.80,7552.56,true,"Success"
282,0,51509,0,51.53,30.5,1123.27,369.80,6464.56,true,"Success"
282,0,51512,0,81.68,30.5,1525.09,369.80,9408.56,true,"Success"
282,0,51519,0,52.11,30.5,1124.20,369.80,7424.56,true,"Success"
282,0,51521,0,102.20,30.5,1954.50,369.80,8512.56,true,"Success"
282,0,51537,0,68.59,30.5,1183.32,369.80,6400.56,true,"Success"
282,0,51539,0,77.22,30.5,1573.52,369.80,8448.56,true,"Success"
282,0,51542,0,64.56,30.5,1526.65,369.80,8512.56,true,"Success"
282,0,51543,0,56.99,30.5,1551.48,369.80,9984.56,true,"Success"
282,0,51550,0,48.56,30.5,1129.24,369.80,7232.56,true,"Success"
282,0,51574,0,41.30,30.5,1126.99,369.80,7616.56,true,"Success"
282,0,51577,0,72.63,30.5,1984.41,369.80,10048.56,true,"Success"
282,0,51580,0,58.04,30.5,1165.45,369.80,6528.56,true,"Success"
282,0,51589,0,54.40,30.5,1123.65,369.80,7296.56,true,"Success"
282,0,51590,0,52.98,30.5,1125.21,369.80,7168.56,true,"Success"
282,0,51593,0,55.27,30.5,1124.23,369.80,6336.56,true,"Success"
282,0,51629,0,39.62,30.5,1127.30,369.80,7552.56,true,"Success"
282,0,51643,0,55.34,30.5,1124.92,369.80,7232.56,true,"Success"
282,0,51661,0,52.15,30.5,1124.15,369.80,7616.56,true,"Success"
282,0,51667,0,65.47,30.5,1224.07,369.80,7616.56,true,"Success"
282,0,51687,0,56.49,30.5,1181.36,369.80,7296.56,true,"Success"
282,0,51696,0,55.04,30.5,1123.78,369.80,7552.56,true,"Success"
282,0,51710,0,64.84,30.5,1612.80,369.80,10048.56,true,"Success"
282,0,51715,0,65.45,30.5,1538.14,369.80,10048.56,true,"Success"
282,0,51724,0,65.03,30.5,1544.24,369.80,8768.56,true,"Success"
282,0,51733,0,60.80,30.5,1127.20,369.80,7296.56,true,"Success"
282,0,51737,0,38.50,30.5,1124.64,369.80,7616.56,true,"Success"
282,0,51741,0,65.45,30.5,1580.81,369.80,8640.56,true,"Success"
282,0,51754,0,39.02,30.5,1123.42,369.80,7552.56,true,"Success"
282,0,51756,0,51.78,30.5,1128.10,369.80,6464.56,true,"Success"
282,0,51766,0,60.90,30.5,1124.55,369.80,7232.56,true,"Success"
282,0,51780,0,69.66,30.5,1572.16,369.80,10048.56,true,"Success"
282,0,51785,0,93.87,30.5,2344.68,369.80,12672.56,true,"Success"
282,0,51786,0,73.23,30.5,1496.03,369.80,8384.56,true,"Success"
282,0,51787,0,66.60,30.5,1618.36,369.80,8640.56,true,"Success"
282,0,51802,0,72.62,30.5,1535.83,369.80,8768.56,true,"Success"
282,0,51807,0,52.64,30.5,1129.07,369.80,7232.56,true,"Success"
282,0,51809,0,65.94,30.5,1572.41,369.80,8000.56,true,"Success"
282,0,51811,0,51.85,30.5,1126.44,369.80,7168.56,true,"Success"
282,0,51819,0,58.35,30.5,1124.86,369.80,6464.56,true,"Success"
282,0,51824,0,71.98,30.5,1572.43,369.80,9984.56,true,"Success"
282,0,51825,0,49.79,30.5,1125.75,369.80,6528.56,true,"Success"
282,0,51828,0,71.66,30.5,1517.20,369.80,10048.56,true,"Success"
282,0,51829,0,48.87,30.5,1126.20,369.80,6528.56,true,"Success"
282,0,51836,0,59.67,30.5,1124.19,369.80,5952.56,true,"Success"
282,0,51845,0,56.73,30.5,1182.49,369.80,7168.56,true,"Success"
282,0,51855,0,66.13,30.5,1128.08,369.80,6528.56,true,"Success"
282,0,51856,0,51.63,30.5,1204.32,369.80,7488.56,true,"Success"
282,0,51860,0,51.88,30.5,1126.52,369.80,7552.56,true,"Success"
282,0,51868,0,59.65,30.5,1462.91,369.80,8256.56,true,"Success"
282,0,51876,0,37.27,30.5,1125.41,369.80,7616.56,true,"Success"
282,0,51885,0,46.16,30.5,1180.97,369.80,7488.56,true,"Success"
282,0,51886,0,67.55,30.5,1124.54,369.80,6528.56,true,"Success"
282,0,51887,0,55.53,30.5,1180.88,369.80,6528.56,true,"Success"
282,0,51910,0,59.28,30.5,1123.89,369.80,7168.56,true,"Success"
282,0,51924,0,68.91,30.5,1186.66,369.80,4992.56,true,"Success"
282,0,51927,0,99.71,30.5,2228.90,369.80,10880.56,true,"Success"
282,0,51931,0,60.97,30.5,1565.53,369.80,10304.56,true,"Success"
282,0,51940,0,43.78,30.5,1125.69,369.80,6464.56,true,"Success"
387,0,54385,0,50.72,40.0,1036.72,342.63,4291.00,true,"Success"
387,0,54429,0,70.32,40.0,1418.54,342.63,4292.00,true,"Success"
387,0,54499,0,60.22,40.0,1110.52,342.63,4492.00,true,"Success"
387,0,54629,0,179.08,40.0,1488.12,342.63,2956.00,true,"Success"
387,0,54830,0,132.21,40.0,1224.81,342.63,2248.00,true,"Success"
387,0,54841,0,54.22,40.0,1262.94,342.63,5264.00,true,"Success"
387,0,54843,0,74.88,40.0,1048.84,342.63,4232.00,true,"Success"
387,0,54848,0,61.79,40.0,1342.59,342.63,4172.00,true,"Success"
387,0,54865,0,63.05,40.0,1081.03,342.63,4632.00,true,"Success"
387,0,54878,0,171.49,40.0,1258.47,342.63,2956.00,true,"Success"
387,0,54985,0,71.80,40.0,1164.35,342.63,3152.00,true,"Success"
387,0,55045,0,96.04,40.0,1128.49,342.63,2248.00,true,"Success"
387,0,55106,0,58.97,40.0,1161.02,342.63,4422.00,true,"Success"
387,0,55134,0,89.30,40.0,1065.07,342.63,2320.00,true,"Success"
387,0,55136,0,56.98,40.0,1278.30,342.63,6224.00,true,"Success"
387,0,55150,0,111.58,40.0,1029.61,342.63,2320.00,true,"Success"
387,0,55152,0,178.98,40.0,1474.44,342.63,3152.00,true,"Success"
387,0,55157,0,51.71,40.0,1034.34,342.63,3084.00,true,"Success"
387,0,55253,0,121.39,40.0,1074.73,342.63,3020.00,true,"Success"
493,0,55387,0,139.15,37.5,1036.72,342.63,2244.00,true,"Success"
493,0,55431,0,66.93,37.5,1418.54,342.63,4293.00,true,"Success"
493,0,55501,0,76.13,37.5,1110.52,342.63,3152.00,true,"Success"
493,0,55631,0,71.42,37.5,1488.12,342.63,4496.00,true,"Success"
493,0,55832,0,78.96,37.5,1224.81,342.63,2378.00,true,"Success"
493,0,55843,0,52.91,37.5,1262.94,342.63,5396.00,true,"Success"
493,0,55845,0,47.51,37.5,1048.84,342.63,4234.00,true,"Success"
493,0,55850,0,57.08,37.5,1342.59,342.63,5008.00,true,"Success"
493,0,55867,0,65.37,37.5,1081.03,342.63,4896.00,true,"Success"
493,0,55880,0,57.06,37.5,1258.47,342.63,4560.00,true,"Success"
493,0,55987,0,85.61,37.5,1164.35,342.63,4692.00,true,"Success"
493,0,56047,0,57.53,37.5,1128.49,342.63,4490.00,true,"Success"
493,0,56108,0,50.30,37.5,1161.02,342.63,3144.00,true,"Success"
493,0,56136,0,53.94,37.5,1065.07,342.63,2580.00,true,"Success"
493,0,56138,0,153.13,37.5,1278.30,342.63,2580.00,true,"Success"
493,0,56152,0,63.19,37.5,1029.61,342.63,4372.00,true,"Success"
493,0,56154,0,101.25,37.5,1474.44,342.63,4948.00,true,"Success"
493,0,56159,0,103.88,37.5,1034.34,342.63,3088.00,true,"Success"
493,0,56255,0,113.99,37.5,1074.73,342.63,2448.00,true,"Success"
