appID,sqlID,description,numTasks,Duration,executorCPURatio,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
"spark-804ba8c1909c4004bb53641858a61004",1,"saveAsTable at NativeMethodAccessorImpl.java:0",18192,649005,25.08,0,144988294,97338,26,7969.9,34874581,533240,3587162,139066338,4873138533,11200308370,1350655,0,1040690,30312,1342242816,994,59261,74163648,150633,10330341042,12210417,465302583678,0,475632924720,582299837443,17837594765,393384
"spark-804ba8c1909c4004bb53641858a61004",2,"count at NativeMethodAccessorImpl.java:0",16166,64481,76.12,0,35918848,11179,50,2221.9,26822744,108734,311513,35236350,2176792472,5008011462,987934,0,0,0,1342242816,704,57014,158322,78856,2039235199,13924045,362498328153,0,364537563352,305454141391,11357316796,326336
