appID,sqlID,input_bytesRead_sum,input_recordsRead_sum,output_bytesWritten_sum,output_recordsWritten_sum,diskBytesSpilled_sum,memoryBytesSpilled_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum
"spark-adda5dda44384747b931d5b6d57d78bd",1,10850387493,25175092710,17008186,136673,0,0,1725858841059,1663159623030
"spark-adda5dda44384747b931d5b6d57d78bd",2,2199088637,5014012924,0,0,0,0,793735534657,553995885403
