Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",513811,513811
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",506628,499824
"2",2,"saveAsTable at NativeMethodAccessorImpl.java:0",14479,14479
"2",3,"saveAsTable at NativeMethodAccessorImpl.java:0",14106,13882
"4",4,"count at NativeMethodAccessorImpl.java:0",666,656
"5",5,"count at NativeMethodAccessorImpl.java:0",441,433
