sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
2,75,"Sort",8938,"spill size",0,0,0,0,"size","237"
2,76,"AQEShuffleRead",8939,"number of partitions",430,430,430,430,"sum",""
2,76,"AQEShuffleRead",8940,"partition data size",234,1318,2051,533383,"size",""
2,76,"AQEShuffleRead",8941,"number of coalesced partitions",267,267,267,267,"sum",""
2,77,"Exchange",6400,"data size",5112,5189,5296,260000,"size","182,237"
2,77,"Exchange",6401,"number of partitions",800,800,800,800,"sum","182,237"
2,77,"Exchange",6402,"remote blocks read",1,1,18,4225,"sum","182,237"
2,77,"Exchange",6403,"local blocks read",1,1,4,481,"sum","182,237"
2,77,"Exchange",6404,"remote bytes read",109,946,1914,455270,"size","182,237"
2,77,"Exchange",6406,"local bytes read",100,101,426,53214,"size","182,237"
2,77,"Exchange",6407,"fetch wait time",0,0,0,0,"timing","182,237"
2,77,"Exchange",6408,"records read",2,2,18,5000,"sum","182,237"
2,77,"Exchange",6417,"remote reqs duration",6,333,2258,184570,"timing","182,237"
2,77,"Exchange",6419,"shuffle bytes written",9631,10157,10498,508484,"size","182,237"
2,77,"Exchange",6420,"shuffle records written",100,100,100,5000,"sum","182,237"
2,77,"Exchange",6421,"shuffle write time",324098,399744,697528,19987696,"nsTiming","182,237"
2,78,"WholeStageCodegen (5)",6422,"duration",179,340,7482,17565,"timing","182"
2,79,"Filter",6423,"number of output rows",100,100,100,5000,"sum","182"
2,80,"ColumnarToRow",6424,"number of output rows",100,100,100,5000,"sum","182"
2,80,"ColumnarToRow",6425,"number of input batches",1,1,1,50,"sum","182"
2,81,"Scan parquet spark_catalog.demo_pauldefusco.branches_skewed",5696,"number of output rows",100,100,100,5000,"sum","182"
2,81,"Scan parquet spark_catalog.demo_pauldefusco.branches_skewed",5697,"scan time",177,338,7480,17462,"timing","182"
2,81,"Scan parquet spark_catalog.demo_pauldefusco.branches_skewed",5698,"number of files read",50,50,50,50,"sum","182"
2,81,"Scan parquet spark_catalog.demo_pauldefusco.branches_skewed",5699,"metadata time",0,0,0,0,"timing","182"
2,81,"Scan parquet spark_catalog.demo_pauldefusco.branches_skewed",5700,"size of files read",360683,360683,360683,360683,"size","182"
2,82,"WholeStageCodegen (41)",9245,"duration",163,1835,3604,937727,"timing","259"
2,83,"Sort",9246,"sort time",0,0,0,0,"timing","259"
2,83,"Sort",9247,"peak memory",67174400,67174400,67174400,32243712000,"size","259"
2,83,"Sort",9248,"spill size",0,0,0,0,"size","259"
2,84,"AQEShuffleRead",9249,"number of partitions",480,480,480,480,"sum",""
2,84,"AQEShuffleRead",9250,"partition data size",97,97,189,50986,"size",""
2,84,"AQEShuffleRead",9251,"number of coalesced partitions",183,183,183,183,"sum",""
2,85,"Exchange",6429,"data size",29240,29240,29240,29240,"size","183,259"
2,85,"Exchange",6430,"number of partitions",800,800,800,800,"sum","183,259"
2,85,"Exchange",6431,"remote blocks read",1,1,1,467,"sum","183,259"
