Root SQL ID,SQL ID,SQL Description,SQL DF Duration,GPU Opportunity
"0",0,"saveAsTable at NativeMethodAccessorImpl.java:0",921621,921621
"0",1,"saveAsTable at NativeMethodAccessorImpl.java:0",919434,919432
"2",2,"count at NativeMethodAccessorImpl.java:0",146034,146032
