stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
60,0,11509,0,6.48,1.7,102.29,18.96,1216.06,true,"Success"
60,0,11559,0,6.66,1.7,101.34,18.96,1216.06,true,"Success"
60,0,11675,0,6.42,1.7,104.06,18.96,1280.06,true,"Success"
60,0,11812,0,6.18,1.7,101.24,18.96,1216.06,true,"Success"
267,0,27350,0,6.34,1.6,102.28,18.96,1216.06,true,"Success"
267,0,27367,0,6.08,1.6,101.34,18.96,1216.06,true,"Success"
267,0,27410,0,6.23,1.6,104.06,18.96,1280.06,true,"Success"
267,0,27457,0,6.41,1.6,101.24,18.96,1216.06,true,"Success"
